left_x,left_y,right_x,right_y,horizontalRatio,verticalRatio,Centre,Left,Right,Up,Down
532,190,674,179,0.5731182795698925,0.698051948051948,1,0,0,0,0
534,174,678,167,0.5916666666666667,0.7071428571428571,1,0,0,0,0
532,139,674,130,0.5359703020993343,0.7341897233201581,1,0,0,0,0
536,176,672,165,0.6147849462365591,0.6904761904761905,1,0,0,0,0
528,186,668,177,0.5731182795698925,0.6833333333333333,1,0,0,0,0
517,187,662,180,0.531989247311828,0.6818181818181818,1,0,0,0,0
510,199,656,190,0.5932203389830508,0.6904761904761905,1,0,0,0,0
503,209,645,203,0.5826618505140317,0.7184210526315788,1,0,0,0,0
505,249,645,240,0.5922413793103448,0.7105263157894737,1,0,0,0,0
503,279,640,269,0.5822746521476104,0.7222222222222222,1,0,0,0,0
502,288,637,277,0.5770145703241154,0.6934210526315789,1,0,0,0,0
503,299,639,295,0.5902777777777778,0.78125,1,0,0,0,0
506,327,642,319,0.5521531100478468,0.7105263157894737,1,0,0,0,0
508,339,642,329,0.5794258373205741,0.7105263157894737,1,0,0,0,0
509,353,642,343,0.5680194805194805,0.7,1,0,0,0,0
510,375,641,367,0.6143097643097644,0.6842105263157895,1,0,0,0,0
510,383,641,372,0.5547169811320755,0.7,1,0,0,0,0
508,369,639,360,0.5788633461047255,0.7222222222222222,1,0,0,0,0
505,364,640,356,0.5394204851752021,0.78125,1,0,0,0,0
518,366,649,356,0.5810185185185186,0.7352941176470589,1,0,0,0,0
525,365,658,359,0.5761363636363637,0.7222222222222222,1,0,0,0,0
534,367,666,361,0.5871305418719213,0.7434640522875817,1,0,0,0,0
530,365,661,360,0.5709728867623605,0.7279411764705883,1,0,0,0,0
523,370,654,361,0.5614035087719298,0.72953216374269,1,0,0,0,0
525,367,658,360,0.5606527093596059,0.7140522875816994,1,0,0,0,0
539,368,671,360,0.5706539074960127,0.7222222222222222,1,0,0,0,0
538,369,671,359,0.5650332728372656,0.675,1,0,0,0,0
535,370,668,361,0.5836466165413534,0.7222222222222222,1,0,0,0,0
528,367,665,361,0.5380877742946708,0.7140522875816994,1,0,0,0,0
522,372,656,364,0.5714285714285714,0.7,1,0,0,0,0
524,372,657,363,0.575031328320802,0.6921052631578948,1,0,0,0,0
531,371,664,363,0.5976076555023924,0.7222222222222222,1,0,0,0,0
535,371,668,363,0.5584415584415584,0.7352941176470589,1,0,0,0,0
538,373,670,365,0.5571741854636592,0.7105263157894737,1,0,0,0,0
534,377,667,368,0.5761363636363637,0.6833333333333333,1,0,0,0,0
529,379,661,369,0.5714285714285714,0.6904761904761905,1,0,0,0,0
518,377,649,369,0.5535714285714286,0.6742424242424242,1,0,0,0,0
500,375,634,366,0.5867003367003367,0.7573529411764706,1,0,0,0,0
494,381,628,374,0.5789473684210527,0.675,1,0,0,0,0
487,378,621,370,0.574874686716792,0.6833333333333333,1,0,0,0,0
491,376,628,366,0.5924185463659148,0.6107142857142858,1,0,0,0,0
508,375,646,359,0.5535714285714286,0.5190058479532164,1,0,0,0,0
457,380,593,367,0.5689655172413793,0.5619047619047619,1,0,0,0,0
534,360,672,350,0.5741872742428453,0.65,1,0,0,0,0
534,360,673,351,0.5808007013442431,0.6842105263157895,1,0,0,0,0
535,360,673,350,0.5795197740112994,0.675,1,0,0,0,0
536,360,673,350,0.5711864406779661,0.675,1,0,0,0,0
534,361,672,351,0.5666666666666667,0.65,1,0,0,0,0
528,362,666,351,0.5542372881355933,0.6583333333333333,1,0,0,0,0
530,362,667,351,0.5717514124293785,0.6595238095238095,1,0,0,0,0
532,361,670,352,0.5638515488018703,0.6842105263157895,1,0,0,0,0
532,362,671,352,0.5781420765027323,0.6583333333333333,1,0,0,0,0
537,358,676,349,0.571045197740113,0.6671052631578948,1,0,0,0,0
547,351,688,348,0.5561101028433152,0.6764705882352942,1,0,0,0,0
563,357,701,355,0.5559614260666277,0.6842105263157895,1,0,0,0,0
572,356,709,357,0.5644360023378141,0.7032163742690059,1,0,0,0,0
572,355,708,358,0.5552308591466979,0.7032163742690059,1,0,0,0,0
560,359,697,356,0.5932203389830508,0.6842105263157895,1,0,0,0,0
561,359,697,352,0.576271186440678,0.675,1,0,0,0,0
568,360,704,348,0.5775862068965517,0.6921052631578948,1,0,0,0,0
579,360,715,347,0.5847457627118644,0.6666666666666666,1,0,0,0,0
588,360,725,345,0.5625706214689266,0.6666666666666666,1,0,0,0,0
597,359,734,343,0.5552308591466979,0.6345238095238095,1,0,0,0,0
609,360,748,343,0.5586206896551724,0.6515151515151515,1,0,0,0,0
609,360,747,343,0.5586206896551724,0.6671052631578948,1,0,0,0,0
606,361,744,344,0.5879943502824858,0.6583333333333333,1,0,0,0,0
